gsr_max,gsr_min,gsr_mean,gsr_sd,hrate_mean,temp_avg,fear,angry,happy,sad,class
2.32,1.63,1.730828025,0.101923562,84.93,38.8,3,2,1,2,3
1.93,1.63,1.723939394,0.113225603,79.5426,38.7,1,1,1,5,3
2.81,1.93,2.189153605,0.289796456,98.9055,37.9,1,1,4,1,2
3,2.32,2.731612903,0.270725761,100.8939,38.9,2,2,1,4,3
7.2,3.1,4.141620112,1.020889209,105.095,39,2,2,1,5,3
3.29,2.51,2.808037975,0.230696699,108.8885,39.1,5,2,1,2,3
10.04,8.77,9.327247706,0.263157014,80.0779,37.2,2,4,1,2,1
12.48,10.72,11.33371795,0.372353376,83.3486,37.1,2,5,1,1,1
13.07,10.92,11.69236559,0.449989544,81.1128,37.8,2,1,4,2,2
13.85,11.51,12.78925926,0.536258357,82.14,39,2,3,1,5,3
14.73,11.99,12.81664596,0.553801571,83.1316,36.8,4,2,1,1,0
6.52,2.51,4.255403727,0.911399332,85.5258,37.6,1,4,2,3,2
6.32,4.37,5.34488189,0.477428406,79.0607,36.9,1,5,1,3,1
6.32,3.78,4.6197,0.59643835,80.3535,37.7,1,2,4,1,2
7.4,5.74,6.309555556,0.44721337,78.0521,38.8,2,1,1,5,3
3.49,2.22,2.748373984,0.404183804,140.4157,36.7,1,1,4,1,2
5.05,3.69,4.260247934,0.309428136,95.2408,37.7,1,1,5,1,2
5.35,3.2,3.670257732,0.368308605,132.9037,37,3,2,5,3,3
5.84,4.57,5.09575,0.365224817,88.7552,39,5,2,1,4,3
5.05,3.69,4.110402685,0.335955433,97.9121,37.1,1,1,3,2,2
1.93,0,0.910439024,0.728009173,101.9631,37.5,1,1,5,1,2
2.51,1.73,2.070923077,0.195422207,87.8027,36.5,5,1,1,4,0
6.32,1.34,4.529269663,1.299520131,103.9829,36.9,1,5,1,3,1
8.18,4.57,7.287727273,1.022622263,94.9184,37.8,2,3,5,4,2
7.99,4.57,6.260887097,0.897310355,100.873,38.9,3,1,1,4,3
5.93,2.51,4.7996,1.26536714,106.0685,36.6,5,1,1,3,0
8.18,5.84,7.138152174,0.480233298,110.3069,36.7,1,5,1,3,1
5.15,2.32,3.491438849,0.866903168,115.1623,37.2,4,5,3,3,1
10.53,7.79,9.446229508,0.573495609,112.1145,37.9,1,1,4,1,2
10.23,6.42,7.719938272,0.921001006,120.8538,39,3,1,1,4,3
1.14,0,0.99696,0.298134587,102.1304,36.6,4,1,1,3,0
1.24,1.14,1.184791667,0.049989034,115.3366,36.8,1,5,1,2,1
1.44,1.24,1.332352941,0.06154129,116.3676,37.3,1,5,1,4,1
1.83,1.44,1.691081081,0.079906925,84.9308,37.6,1,2,5,2,2
1.63,1.53,1.598852459,0.046693981,89.9319,39.1,1,1,3,5,3
1.93,1.53,1.752346369,0.103604003,100.1565,36.5,5,4,1,4,0
1.53,1.24,1.435851064,0.049868851,92.9067,36.7,3,5,1,4,1
1.73,1.44,1.53,0.056537879,86.8654,37.4,1,5,1,4,1
1.83,1.53,1.717878788,0.077489754,85.8569,37.7,1,1,5,1,2
1.93,1.53,1.640967742,0.087954934,109.9949,38.9,4,1,1,5,3
13.75,8.28,10.07036232,1.354051724,88.9284,37.1,1,5,1,1,1
14.63,10.23,12.32824176,0.840304962,105.9591,37,1,5,1,4,1
16,11.21,12.41977143,0.965187108,92.9209,39,4,1,1,5,3
16.2,13.56,14.44635135,0.518621921,88.9284,39.1,1,4,1,5,3
12.58,0,9.818962264,3.368447976,89.8697,37.2,1,5,1,1,1
2.02,1.34,1.69244898,0.179415305,107.0402,36.5,5,1,1,4,0
2.51,2.02,2.238311688,0.101818788,115.0437,37.8,1,1,4,1,2
2.9,2.51,2.613777778,0.113738677,118.2824,36.6,5,1,1,3,0
